Object Selected, Correct, Was Selected, Time Hovered
kettle_01,False,False,6.296992
radio_01,False,False,0.1803496
souppot_01,False,False,6.347363
jars_01,False,False,0.7373523
bin_01,False,False,0
spatula_01,False,False,1.044026
cutting_board_01,False,False,0.8789853
toster_01,True,True,1.128138
pan_01,True,True,3.701694
clock_01,True,False,0
frame_01,True,False,0
frame_02,True,False,0
ladle_01,True,True,4.654254
rolling_pin_01,True,False,0.5010619
big_knife_01,True,False,0.6687614
switch_01,False,False,0
socket_01,True,False,0
small_knife_01,True,False,1.127886
medium_knife_01,False,False,0.7799012
heart_sticker_01,False,False,0
key_sticker_01,False,False,0
flower_sticker_01,True,False,0
magnet_sticker_01,False,False,0
moose_sticker_01,False,False,0
smile_sticker_01,False,False,1.254154
star_sticker_01,False,False,0.932802
